Index,Country,City,Hotel,Address,Popularity,Latitude,Longitude
117,CA,Toronto,Hilton Garden Inn Toronto/Mississauga,"100 Traders Boulevard, Mississauga, Ontario, Canada",222,43.62384,-79.67201
118,CA,Toronto,Best Western Plus Executive Inn,"38 Estate Dr, Toronto, Ontario, Canada",815,45.11427,-79.59482
119,CA,Toronto,Comfy Guest House and Suite,"250 Gerrard St E, Toronto, Ontario, Canada",625,43.66215,-79.36944
120,CA,Toronto,Comfort Inn & Conference Centre Toronto Airport,"240 Belfield Rd, Toronto, Ontario, Canada",506,43.70032,-79.58568
121,CA,Toronto,Days Inn by Wyndham Toronto East Lakeview,"2151 Kingston Rd, Toronto, Ontario, Canada",480,43.67805,-79.30148
122,CA,Toronto,Bisha Hotel Toronto,"80 Blue Jays Way, Toronto, Ontario, Canada",455,43.64541,-79.3923
123,CA,Toronto,Fairfield Inn by Marriott Toronto Oakville,"2937 Sherwood Heights Dr, Oakville, Ontario, Canada",183,43.5066,-79.66305
124,CA,Toronto,Studio 6 Toronto - Mississauga,"60 Britannia Rd E, Mississauga, Ontario, Canada",84,43.62691,-79.67761
125,CA,Toronto,Embassy Suites by Hilton Toronto Airport,"262 Carlingview Dr, Toronto, Ontario, Canada",599,43.68777,-79.59642
126,CA,Toronto,Home2 Suites by Hilton Milton Ontario,"Home 2 Suites By Hilton 8490 Parkhill Dr, Milton, Ontario, Canada",459,43.5328,-79.90815
127,CA,Toronto,Days Inn by Wyndham Toronto East Beaches,"1684 Queen St E, Toronto, Ontario, Canada",554,43.66741,-79.31347
128,CA,Toronto,Quality Inn & Suites,"2930 South Sheridan Way, Oakville, Ontario, Canada",559,43.50748,-79.66436
129,CA,Toronto,"Motel 6 Brampton, On - Toronto","160 Steelwell Rd, Brampton, Ontario, Canada",93,43.68544,-79.70839
130,CA,Toronto,Monte Carlo Inn Toronto West Suites,"1886 Dundas St E, Mississauga, Ontario, Canada",144,43.61968,-79.57204
131,CA,Toronto,Quality Inn & Suites Mississauga,"5585 Ambler Dr, Mississauga, Ontario, Canada",476,43.64563,-79.63839
132,CA,Toronto,Hilton Garden Inn Toronto Brampton West,"200 Steelwell Road, Brampton, Ontario, Canada",65,43.68722,-79.70835
133,CA,Toronto,Courtyard Toronto Mississauga West,"290 Derry Road West, Mississauga, Ontario, Canada",101,43.63954,-79.71269
134,CA,Toronto,"Holiday Inn Toronto-Airport East, an IHG Hotel","600 Dixon Road, Toronto, Ontario, Canada",497,43.69254,-79.57296
135,CA,Toronto,Motel 6 Toronto West - Burlington - Oakville,"4345 North Service Rd, Burlington, Ontario, Canada",175,43.37656,-79.77864
136,CA,Toronto,DoubleTree by Hilton Toronto Airport,"925 Dixon Rd, Toronto, Ontario, Canada",424,43.68623,-79.59633
137,CA,Toronto,HI Toronto,"76 Church St, Toronto, Ontario, Canada",521,43.65071,-79.37499
138,CA,Toronto,Hotel Carlingview Toronto Airport,"221 Carlingview Dr, Toronto, Ontario, Canada",694,43.68473,-79.59366
139,CA,Toronto,Monte Carlo Inn & Suites Downtown Markham,"7255 Warden Ave, Markham, Ontario, Canada",743,43.82815,-79.32595
140,CA,Toronto,Super 8 by Wyndham Toronto East on,"3280 Kingston Rd, Toronto, Ontario, Canada",385,43.67805,-79.30148
141,CA,Toronto,"Homewood Suites by Hilton Ajax, Ontario, Canada","600 Beck Cres, Ajax, Ontario, Canada",485,43.85724,-79.00814
142,CA,Toronto,Windsor Arms Hotel,"18 Saint Thomas St, Toronto, Ontario, Canada",440,43.6688,-79.39113
143,CA,Toronto,Courtyard by Marriott Toronto Airport,"231 Carlingview Drive, Toronto, Ontario, Canada",437,43.68501,-79.59417
