Index,Country,City,Hotel,Address,Popularity,Latitude,Longitude
192,CA,Montreal,"Hotel Montreal Metropolitan, BW Premier Collection","3400 Boul Cremazie E, Montreal, Quebec, Canada",79,45.56448,-73.60414
193,CA,Montreal,Hotel Montreal Espace Confort,"2050 St-Denis, Montreal, Quebec, Canada",260,45.51609,-73.56612
194,CA,Montreal,Plateau Suites Montreal,"832 Gilford Street, Montreal, Quebec, Canada",21,45.52807,-73.5848
195,CA,Montreal,Homewood Suites by Hilton Montreal Downtown,"985 Boul. St-Laurent, Montreal, Quebec, Canada",32,45.50791,-73.55889
196,CA,Montreal,Hilton Garden Inn Montreal Midtown,"6939 Decarie, Montreal, Quebec, Canada",48,45.49301,-73.64927
197,CA,Montreal,Fairfield by Marriott Montreal Downtown,"1199 Rue Berri, Montreal, Quebec, Canada",133,45.51407,-73.55783
198,CA,Montreal,Casa Bianca,"4351 L'Esplanade Avenue, Montreal, Quebec, Canada",110,45.51755,-73.58566
199,CA,Montreal,Castel Durocher,"3488 Durocher, Montreal, Quebec, Canada",60,45.50793,-73.57471
200,CA,Montreal,Hotel Park Avenue,"4544 Avenue du Parc, Montreal, Quebec, Canada",82,45.51703,-73.59042
201,CA,Montreal,Sonder Le Guerin,"4501 Drolet Street, Montreal, Quebec, Canada",85,45.52368,-73.58371
202,CA,Montreal,Comfort Inn,"2055 Auto. des Laurentides, Laval, Quebec, Canada",110,45.58166,-73.70493
203,CA,Montreal,Hyatt Place Montreal – Downtown,"1415, Rue Saint-Hubert, Montreal, Quebec, Canada",79,45.51594,-73.55952
204,CA,Montreal,Le Manoir d'Auteuil,"49, rue d'Auteuil, Quebec City, Quebec, Canada",2156,46.8114,-71.21153
205,CA,Montreal,Fiddler Lake Resort,"1000, Road 329, Milles Isles, Quebec, Canada",634,45.80843,-74.24107
206,CA,Montreal,Apart Hotel Montreal,"2115 Rue Saint-Urbain, Montreal, Quebec, Canada",13,45.51083,-73.56907
207,CA,Montreal,Fox Motor Inn,"297 Dundas St W, Napanee, Lennox and Addington County, Ontario, Canada",348,44.24126,-76.96313
208,CA,Montreal,C C Cherrier,"522 Rue Cherrier, Montreal, Quebec, Canada",17,45.51935,-73.56865
209,CA,Montreal,All Suite VIP Loft Montreal,"1099 St Denis Street, Montreal, Quebec, Canada",59,45.51261,-73.55756
