Index,Country,City,Hotel,Address,Popularity
212,CA,Montreal,Alexandrie Hostel,"1750 Amherst, Montreal, Quebec, Canada",236
213,CA,Montreal,Hotel Arena Palace,"1553 St-Andre, Montreal, Quebec, Canada",182
214,CA,Montreal,Hotel Terrasse Royale,"5225 chemin Cote-des-Neiges, Montreal, Quebec, Canada",199
215,CA,Montreal,Auberge du Carre St-Louis,"3466 St-Denis Street, Montreal, Quebec, Canada",195
216,CA,Montreal,The SoHo Hotel & Residences,"318 Wellington St W, Toronto, Ontario, Canada",1209
217,CA,Montreal,McGill New Residence Hall,"3625 Avenue du Parc, Montreal, Quebec, Canada",122
218,CA,Montreal,B & B Gite Couette et Chocolat Inc.,"1074, rue Saint Dominique, Montreal, Quebec, Canada",113
219,CA,Montreal,Appartements Trylon,"3463 Sainte-Famille, Montreal, Quebec, Canada",152
220,CA,Montreal,Residence La Citadelle,"410 Sherbrooke Street West, Montreal, Quebec, Canada",124
221,CA,Montreal,Best Western Plus Montreal East,"12555 Rue Sherbrooke E, Montreal, Quebec, Canada",52
222,CA,Montreal,Sucrerie de la Montagne,"300, rang Saint-Georges, Rigaud, Quebec, Canada",97
223,CA,Montreal,Camping Alouette,"3449 de L'Industrie, St-Mathieu-de-Beloeil, Quebec, Canada",46
224,CA,Montreal,Hotel Jazz,"1216, rue St-Hubert, Montreal, Quebec, Canada",54
225,CA,Montreal,Le Pleasant Hotel & Cafe,"1 Rue Pleasant, Sutton, Quebec, Canada",577
226,CA,Montreal,Super 8 by Wyndham Cornwall ON,"2694 Brookdale Ave, Cornwall, Ontario, Canada",283
227,CA,Montreal,Manoir Hovey,"575 Rue Hovey, North Hatley, Quebec, Canada",1636
228,CA,Montreal,Hotel Escad Quartier DIX30,"9156 Boulevard Leduc, Brossard, Quebec, Canada",86
229,CA,Montreal,OTL Gouverneur Sherbrooke,"3131 King West Street, Sherbrooke, Quebec, Canada",356
230,CA,Montreal,La Perrot Damoise,"25 rue de l'Eglise, Notre-Dame-de-l'Ile-Perrot, Quebec, Canada",49
231,CA,Montreal,Kenauk Nature,"1000 chemin Kenauk, Montebello, Outaouais Region, Quebec, Canada",210
232,CA,Montreal,Best Western Belleville,"387 N Front St, Belleville, Ontario, Canada",787
233,CA,Montreal,Hotel Viger,"1001 Saint-Hubert St, Montreal, Quebec, Canada",215
234,CA,Montreal,Town Inn Suites,"620 Church St, Toronto, Ontario, Canada",1066
235,CA,Montreal,OM Montreal BnB,"850 Sherbrooke Street East, Montreal, Quebec, Canada",28
236,CA,Montreal,Motel Du Fleuve,"5800 Boul. Marie Victorin, Brossard, Quebec, Canada",63
237,CA,Montreal,Welcominns,"1195 Rue Ampere, Boucherville, Quebec, Canada",276
238,CA,Montreal,"Holiday Inn Express & Suites Vaudreuil - Dorion, an IHG Hotel","33 Boul. de la Cite-Des-Jeunes East, Vaudreuil-Dorion, Quebec, Canada",164
239,CA,Montreal,LikeAHotel,"54 Rue Prince Arthur E, Montreal, Quebec, Canada",111
240,CA,Montreal,La Cache du Lac Champlain,"325 Ave de Venise Ouest, Venise-en-Quebec, Quebec, Canada",217
241,CA,Montreal,Les Suites Saint Francois Xavier,"438 Rue Saint-Francois-Xavier, Montreal, Quebec, Canada",31
242,CA,Montreal,Hotel Ste Catherine,"1674 Ste Catherine Est, Montreal, Quebec, Canada",65
243,CA,Montreal,Motel Rideau,"8700 boulevard Marie-Victorin, Brossard, Quebec, Canada",24
244,CA,Montreal,Auberge de la Montagne Coupee,"1000, Chemin de la Montagne Coupee, Saint-Jean-de-Matha, Quebec, Canada",181
245,CA,Montreal,Comfort Inn South,"7863 Taschereau Boulevard, Brossard, Quebec, Canada",153
246,CA,Montreal,Comfort Inn Boucherville,"96 boul. de Mortagne, Boucherville, Quebec, Canada",130
