Index,Country,City,Hotel,Address,Popularity
181,CA,Toronto,Hilton Mississauga/Meadowvale,"6750 Mississauga Rd, Mississauga, Ontario, Canada",1160
182,CA,Toronto,Taboo Muskoka Resort,"1209 Muskoka Beach Rd, Gravenhurst, Muskoka District, Ontario, Canada",534
183,CA,Toronto,"Holiday Inn Express & Suites Oshawa Downtown - Toronto Area, an IHG Hotel","67 Simcoe St N, Oshawa, Ontario, Canada",164
184,CA,Toronto,Downtown Home Inn,"2 Monteith St, Toronto, Ontario, Canada",377
185,CA,Toronto,Best Western Milton,"161 Chisholm Dr, Milton, Ontario, Canada",303
186,CA,Toronto,"Holiday Inn Burlington-Hotel & Conf Centre, an IHG Hotel","3063 South Service Rd., Burlington, Ontario, Canada",391
187,CA,Toronto,Courtyard by Marriott Mississauga-Airport Corporate Centre West,"5050 Creekbank Rd, Mississauga, Ontario, Canada",209
188,CA,Toronto,NU Hotel,"6465 Airport Rd, Mississauga, Ontario, Canada",316
189,CA,Toronto,"Holiday Inn & Suites Oakville @ Bronte, an IHG Hotel","2525 Wyecroft Road, Oakville, Ontario, Canada",308
190,CA,Toronto,Comfort Inn Pickering,"533 Kingston Rd, Pickering, Ontario, Canada",256
191,CA,Toronto,Fairmont The Queen Elizabeth,"900 Blvd. Rene Levesque West, Montreal, Quebec, Canada",1513
192,CA,Toronto,Woodbine Hotel & Suites,"30 Vice Regent Blvd, Toronto, Ontario, Canada",346
193,CA,Toronto,Comfort Hotel Airport North,"445 Rexdale Blvd, Toronto, Ontario, Canada",401
194,CA,Toronto,"Holiday Inn Express Toronto-North York, an IHG Hotel","30 Norfinch Drive, Toronto, Ontario, Canada",201
195,CA,Toronto,Holiday Inn & Suites Mississauga West - Meadowvale,"2565 Argentia Rd, Mississauga, Ontario, Canada",282
196,CA,Toronto,Days Inn by Wyndham Brampton,"260 Queen St E, Brampton, Ontario, Canada",388
197,CA,Toronto,TownePlace Suites Toronto Northeast / Markham,"7095 Woodbine Ave., Markham, Ontario, Canada",142
198,CA,Toronto,Cambridge Suites Mississauga,"7005 Century Ave, Mississauga, Ontario, Canada",197
199,CA,Toronto,Pembroke Inn,"117 Pembroke St, Toronto, Ontario, Canada",305
200,CA,Toronto,Delta Hotels by Marriott Toronto Airport & Conference Centre,"655 Dixon Road, Toronto, Ontario, Canada",289
201,CA,Toronto,Comfort Inn Toronto North,"66 Norfinch Dr, Toronto, Ontario, Canada",195
202,CA,Toronto,Toronto West KOA,"9301 Second Line Nassagaweya, Campbellville, Milton, Ontario, Canada",51
203,CA,Toronto,Howard Johnson by Wyndham Lindsay,"354 Lindsay St S, Lindsay, Kawartha Lakes, Ontario, Canada",445
204,CA,Toronto,The Lodge at Pine Cove,"1013 528a Hwy, Wolseley Bay, French River, Northeastern Ontario, Ontario, Canada",294
205,CA,Toronto,"The Grand Tappattoo Resort, Ascend Hotel Collection","30 Tapatoo Trail, Parry Sound, Northeastern Ontario, Ontario, Canada",261
206,CA,Toronto,Element Toronto Airport,"6257 Airport Road, Mississauga, Ontario, Canada",19
207,CA,Toronto,Whispering Springs Wilderness Retreat,"141 Mercer Lane, Grafton, Ontario, Canada",231
208,CA,Toronto,Isabella Hotel and Suites,"556 Sherbourne St, Toronto, Ontario, Canada",400
